iter	Passed	Remaining
734	1863735	186735	1865736	187736	1867737	187737	1870738	187738	1872739	187739	1874740	187740	1877741	188741	1879742	188742	1881743	188743	1884744	188744	1887745	189745	1890746	189746	1892747	189747	1894748	189748	18972	6357
749	18998	6332
750	1901751	190751	1903752	190752	1905753	19117	6237
754	191754	1910755	191755	19146	6179
756	1916757	192757	19195	6128
758	1921759	192759	1923760	192760	1926761	193761	1929762	193762	1931763	193763	1933764	193764	1936765	194765	1939766	194766	19422	5900
767	19453	5876
768	19479	5851
769	19504	5826
770	19528	5800
771	19551	5774
772	19576	5748
773	19600	5723
774	19628	5698
775	19648	5671
776	19673	5646
777	19695	5619
778	19718	5594
779	19745	5569
780	19765	5542
781	19787	5516
782	19813	5491
783	19838	5465
784	19861	5439
785	19884	5413
786	1989787	199787	1992788	199788	1994789	199789	1997790	200790	1999791	20051	5266
792	200792	2004793	20105	5216
794	201794	2008795	201795	2011796	201796	2014797	201797	2016798	202798	2018799	202799	2021800	202800	2023801	202801	2026802	203802	2028803	203803	2031804	203804	2033805	203805	2035806	204806	2038807	204807	2040808	204808	2043809	204809	2045810	205810	2047811	205811	2049812	205812	20535	4723
813	2055814	206814	2057815	206815	2060816	206816	2062817	206817	2064818	207818	2067819	207819	2070820	207820	2072821	207821	2074822	207822	2077823	208823	2079824	208824	20824	4417
825	20848	4391
826	20867	4365
827	2088828	209828	2091829	209829	2093830	209830	2095831	210831	2098832	210832	2100833	210833	21038	4187
834	2106835	211835	2108836	211836	2111837	211837	2113838	211838	2116839	212839	2117840	21242	4016
841	21268	3991
842	21294	3965
843	21321	3940
844	21343	3915
845	21372	3890
846	21394	3864
847	21422	3839
848	21447	3814
849	21479	3790
850	21501	3764
851	21522	3738
852	21565	3716
853	21578	3689
854	21598	3662
855	21626	3638
856	21654	3613
857	21671	3586
858	21706	3563
859	21728	3537
860	21753	3511
861	21764	3484
862	21790	3459
863	21820	3434
864	21847	3409
865	21871	3384
866	21895	3358
867	21918	3333
868	21943	3307
869	21963	3281
870	21990	3256
871	22014	3231
872	22040	3206
873	22067	3181
874	22091	3155
875	22115	3130
876	22140	3105
877	22162	3079
878	22183	3053
879	22209	3028
880	22237	3003
881	22261	2978
882	22283	2952
883	22304	2926
884	22333	2902
885	22363	2877
886	22388	2852
887	22414	2827
888	22443	2802
889	22469	2777
890	22494	2751
891	22519	2726
892	22533	2699
893	22559	2674
894	22591	2650
895	22620	2625
896	22644	2600
897	22667	2574
898	22690	2549
899	22715	2523
900	22739	2498
901	22764	2473
902	22789	2448
903	22816	2423
904	22837	2397
905	22858	2371
906	22885	2346
907	22912	2321
908	22934	2295
909	22956	2270
910	22980	2245
911	23005	2219
912	23021	2193
913	23049	2168
914	23073	2143
915	23096	2117
916	23117	2092
917	23140	2067
918	23165	2041
919	23188	2016
920	23213	1991
921	23239	1965
922	23260	1940
923	23287	1915
924	23310	1890
925	23338	1865
926	23358	1839
927	23386	1814
928	23406	1788
929	23430	1763
930	23454	1738
931	23478	1713
932	23508	1688
933	23521	1662
934	23550	1637
935	23574	1611
936	23597	1586
937	23622	1561
938	23649	1536
939	23671	1510
940	23699	1485
941	23719	1460
942	23751	1435
943	23774	1410
944	23798	1385
945	23823	1359
946	23848	1334
947	23873	1309
948	23892	1283
949	23908	1258
950	23938	1233
951	23964	1208
952	23988	1183
953	24018	1158
954	24034	1132
955	24060	1107
956	24080	1082
957	24096	1056
958	24150	1032
959	24177	1007
960	24204	982
961	24222	956
962	24241	931
963	24269	906
964	24293	881
965	24313	855
966	24339	830
967	24358	805
968	24382	780
969	24408	754
970	24436	729
971	24455	704
972	24481	679
973	24505	654
974	24532	629
975	24556	603
976	24580	578
977	24604	553
978	24629	528
979	24654	503
980	24679	477
981	24700	452
982	24722	427
983	24749	402
984	24773	377
985	24798	352
986	24817	326
987	24841	301
988	24863	276
989	24890	251
990	24913	226
991	24931	201
992	24956	175
993	24973	150
994	25002	125
995	25028	100
996	25052	75
997	25079	50
998	25099	25
999	25119	0
5062	0
