,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
154,Jardim Carioca,-22.805672456120153,-43.19300039299783,Social Burguer,-22.8089221613585,-43.19580672502961,Burger Joint
155,Jardim Carioca,-22.805672456120153,-43.19300039299783,Romanella Grill,-22.808841470111503,-43.19613107938333,Pizza Place
156,Jardim Carioca,-22.805672456120153,-43.19300039299783,Rei do Mate,-22.805086323282147,-43.1978328582392,Tea Room
157,Jardim Carioca,-22.805672456120153,-43.19300039299783,Sushi Mix,-22.805010933387383,-43.19765358061739,Sushi Restaurant
158,Jardim Carioca,-22.805672456120153,-43.19300039299783,Curves,-22.80852355572294,-43.19625755591868,Gym / Fitness Center
159,Jardim Carioca,-22.805672456120153,-43.19300039299783,Restaurante e Pizzaria Zamak,-22.8088712668956,-43.19586653665788,Brazilian Restaurant
160,Jardim Carioca,-22.805672456120153,-43.19300039299783,Ilha Fitness,-22.80870858719046,-43.19657882216734,Gym
161,Jardim Carioca,-22.805672456120153,-43.19300039299783,Caju Lanches,-22.80626052526364,-43.19640597409987,Fast Food Restaurant
162,Jardim Carioca,-22.805672456120153,-43.19300039299783,Droganews,-22.807974,-43.196855,Pharmacy
163,Jardim Carioca,-22.805672456120153,-43.19300039299783,Açaí Lanches,-22.806580255043592,-43.19203478058526,Burger Joint
164,Jardim Carioca,-22.805672456120153,-43.19300039299783,Dona Lili Modas,-22.803107682384105,-43.195686438203786,Boutique
165,Jardim Carioca,-22.805672456120153,-43.19300039299783,Caixa dágua do Guarabú,-22.802058390212242,-43.190532765287045,Plaza
166,Pavuna,-22.812686970311017,-43.360104735728896,Point da Família,-22.815724686605822,-43.36060791343427,Burger Joint
167,Pavuna,-22.812686970311017,-43.360104735728896,Padaria do Russo,-22.81441267408113,-43.36116189025925,Bakery
168,Pavuna,-22.812686970311017,-43.360104735728896,Flor da Pavuna - Padaria e Confeitaria,-22.80876357688467,-43.36194318477847,Bakery
169,Pavuna,-22.812686970311017,-43.360104735728896,Arena Carioca Jovelina Pérola Negra,-22.808755236622172,-43.36195063626343,Theater
170,Pavuna,-22.812686970311017,-43.360104735728896,Academia JLS,-22.81134122075662,-43.36221060623081,Gym / Fitness Center
171,Pavuna,-22.812686970311017,-43.360104735728896,Esquina do Russo,-22.815682646579088,-43.36096405232691,Bar
172,Pavuna,-22.812686970311017,-43.360104735728896,Academia Performance Vip,-22.81524102473861,-43.359194184278564,Gym / Fitness Center
173,Pavuna,-22.812686970311017,-43.360104735728896,Bazileu,-22.80845876105603,-43.360383925122775,Bar
174,Pavuna,-22.812686970311017,-43.360104735728896,Lojas Americanas,-22.80874804326865,-43.35926015919687,Department Store
175,Pavuna,-22.812686970311017,-43.360104735728896,Eduardo Coiffeur,-22.810842263527405,-43.357706845579024,Health & Beauty Service
176,Pavuna,-22.812686970311017,-43.360104735728896,padaria,-22.810849687851793,-43.3576987800463,Convenience Store
177,Pavuna,-22.812686970311017,-43.360104735728896,Dino's Lanches,-22.815802,-43.357327,Burger Joint
178,Pavuna,-22.812686970311017,-43.360104735728896,Powerlan 3,-22.816041431085957,-43.35747957229614,Internet Cafe
179,Pavuna,-22.812686970311017,-43.360104735728896,ATP - ACADEMIA TREINO PERFEITO,-22.81393812866141,-43.35543818259056,Gym
180,Parada de Lucas,-22.815694662849747,-43.30085380048468,Rei do Mate,-22.816247128643006,-43.30206490734476,Tea Room
181,Parada de Lucas,-22.815694662849747,-43.30085380048468,SuperVia - Estação Parada de Lucas,-22.815722670982744,-43.30100337132873,Train Station
182,Parada de Lucas,-22.815694662849747,-43.30085380048468,Intercontinental Supermercados,-22.818354198320296,-43.302777584104064,Grocery Store
183,Parada de Lucas,-22.815694662849747,-43.30085380048468,Hortifruti Império,-22.81670125959005,-43.301135474815105,Fruit & Vegetable Store
184,Parada de Lucas,-22.815694662849747,-43.30085380048468,Dogão Mania,-22.814313802151883,-43.299965403231965,Food Truck
185,Parada de Lucas,-22.815694662849747,-43.30085380048468,Restaurante Sheknah,-22.815853,-43.301333,Brazilian Restaurant
186,Parada de Lucas,-22.815694662849747,-43.30085380048468,Chocolates Trufaela,-22.81474418227408,-43.3000975094579,Chocolate Shop
187,Parada de Lucas,-22.815694662849747,-43.30085380048468,Parque Shangai,-22.817244803989343,-43.3010080893164,Theme Park Ride / Attraction
188,Parada de Lucas,-22.815694662849747,-43.30085380048468,Sabor da Fruta,-22.81515857048058,-43.29950302869536,Ice Cream Shop
189,Parada de Lucas,-22.815694662849747,-43.30085380048468,Lotérica Parada De Lucas,-22.81446,-43.30102,ATM
190,Parada de Lucas,-22.815694662849747,-43.30085380048468,Pescoção Lanches,-22.814071482012938,-43.29841784719142,Burger Joint
191,Parada de Lucas,-22.815694662849747,-43.30085380048468,manels bar,-22.81769814505707,-43.30352819620733,Restaurant
192,Parada de Lucas,-22.815694662849747,-43.30085380048468,Frango A Passarim,-22.813425,-43.29838,Wings Joint
193,Parada de Lucas,-22.815694662849747,-43.30085380048468,Lanchonete da Rosa,-22.81327298664125,-43.2985216481789,Pizza Place
194,Parada de Lucas,-22.815694662849747,-43.30085380048468,Bonde das pizzas,-22.812596450758093,-43.2973232054929,Pizza Place
195,Cordovil,-22.81892452229838,-43.29268320621141,Máfia Feminina,-22.817979,-43.29255,Women's Store
