,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
470,Olaria,-22.84758667828684,-43.26994047983021,Bobs,-22.8499686254459,-43.27380150210671,Burger Joint
472,Vila da Penha,-22.843401752440272,-43.310109792212955,Shimaki Culinária Japonesa,-22.845350778094808,-43.310848603541146,Japanese Restaurant
474,Vila da Penha,-22.843401752440272,-43.310109792212955,Frango & Cia,-22.844083324149622,-43.30944707086884,Brazilian Restaurant
476,Vila da Penha,-22.843401752440272,-43.310109792212955,O Original do Brás,-22.84183265660104,-43.30908463203362,Bar
479,Vila da Penha,-22.843401752440272,-43.310109792212955,Belo Brasa,-22.84408039035147,-43.30937238199232,Restaurant
480,Vila da Penha,-22.843401752440272,-43.310109792212955,Othuki Sushi,-22.845913501400698,-43.307591924720136,Sushi Restaurant
483,Vila da Penha,-22.843401752440272,-43.310109792212955,DBK Hamburgueria Gourmet,-22.84000020037457,-43.3126531734985,Burger Joint
485,Vila da Penha,-22.843401752440272,-43.310109792212955,Boa Boca,-22.84574695078939,-43.31037023947953,Pizza Place
487,Vila da Penha,-22.843401752440272,-43.310109792212955,Boteco do Helinho,-22.844666161247968,-43.30901804786917,Bar
488,Vila da Penha,-22.843401752440272,-43.310109792212955,Cucamonga,-22.845007260467344,-43.30860679501024,Mexican Restaurant
489,Vila da Penha,-22.843401752440272,-43.310109792212955,Restaurante Carne de Sol e Cia.,-22.841788073135323,-43.31217968091664,Brazilian Restaurant
492,Vila da Penha,-22.843401752440272,-43.310109792212955,Pepito's Bar,-22.84332311593687,-43.30729127416152,Bar
494,Vila da Penha,-22.843401752440272,-43.310109792212955,GG Pizza!,-22.840496319778172,-43.30651081357571,Pizza Place
496,Vila da Penha,-22.843401752440272,-43.310109792212955,Artur O Rei Do Peixe,-22.843008924438532,-43.31040083167668,Seafood Restaurant
498,Vila da Penha,-22.843401752440272,-43.310109792212955,Caprixo e Caprixado,-22.84578010381973,-43.3104773093506,Brazilian Restaurant
499,Vila da Penha,-22.843401752440272,-43.310109792212955,Pizzaria O Forno Jr.,-22.84515607284921,-43.31092856168055,Pizza Place
502,Maré,-22.859797120953196,-43.24237177743333,Mouton Rouge,-22.86170300812173,-43.24614906231506,Brazilian Restaurant
503,Maré,-22.859797120953196,-43.24237177743333,Restaurante Verdinho,-22.862601051016497,-43.24485989446352,Brazilian Restaurant
504,Maré,-22.859797120953196,-43.24237177743333,restaurante 3° andar - Gastroservice,-22.861222467193265,-43.245535375460186,Restaurant
515,Vila Militar,-22.861488146458484,-43.40327197639196,Restaurante do Círculo Militar da Vila Militar,-22.862237473926026,-43.403147117000884,Brazilian Restaurant
521,Rocha Miranda,-22.849952583455032,-43.34645783794322,Julio's Batata,-22.851194499160005,-43.344685605295325,Burger Joint
522,Rocha Miranda,-22.849952583455032,-43.34645783794322,Chitão,-22.85339828439397,-43.34955096244812,Burger Joint
524,Rocha Miranda,-22.849952583455032,-43.34645783794322,Bella Roma,-22.85312290828911,-43.34983101373216,Italian Restaurant
533,Ramos,-22.85207730945127,-43.25622051872188,Bob's,-22.852403960360636,-43.254372939574345,Burger Joint
534,Ramos,-22.85207730945127,-43.25622051872188,Padaria Aurora,-22.850243892930852,-43.25791244970323,Bakery
538,Realengo,-22.88100286085761,-43.433711437276976,Xodó de Realengo,-22.87790336787755,-43.43473424456321,Restaurant
539,Realengo,-22.88100286085761,-43.433711437276976,Fred's Burguer,-22.879276724110003,-43.43666979119173,Burger Joint
540,Realengo,-22.88100286085761,-43.433711437276976,Armazém Real,-22.87818258805786,-43.43276794839078,Restaurant
543,Realengo,-22.88100286085761,-43.433711437276976,Padaria Do Filé,-22.8782016345408,-43.43486371650856,Restaurant
544,Realengo,-22.88100286085761,-43.433711437276976,Domino's Pizza,-22.878002,-43.437121999999995,Pizza Place
548,Realengo,-22.88100286085761,-43.433711437276976,Rua Nepomuceno,-22.88183279388021,-43.436365710156046,Beer Bar
549,Realengo,-22.88100286085761,-43.433711437276976,Bomba Lanches Burger,-22.88183160676391,-43.43636522790275,Burger Joint
552,Realengo,-22.88100286085761,-43.433711437276976,Restaurante Do Filé!,-22.87810709416565,-43.43497945603871,Restaurant
554,Vila Kosmos,-22.85401979641891,-43.30345589946461,Mercado VITORIA Do Ipase,-22.853163000000002,-43.302456,Bakery
555,Vila Kosmos,-22.85401979641891,-43.30345589946461,Bonde do Yakisoba,-22.85069060908149,-43.305187761302996,Chinese Restaurant
560,Marechal Hermes,-22.85929980179739,-43.37069524613886,Boteco 05,-22.86142287185822,-43.37064825194714,Bar
561,Marechal Hermes,-22.85929980179739,-43.37069524613886,Pizzaria e Pastelaria Lux,-22.86180721549423,-43.371414875183945,Pizza Place
564,Marechal Hermes,-22.85929980179739,-43.37069524613886,Padaria e Confeitaria Nova Lux,-22.861854065802603,-43.37147791648418,Bakery
565,Marechal Hermes,-22.85929980179739,-43.37069524613886,Espaço Mix Gourmet,-22.86091350075393,-43.36998254112415,Brazilian Restaurant
567,Marechal Hermes,-22.85929980179739,-43.37069524613886,A Garotinha,-22.859818415244646,-43.370204360032645,Restaurant
572,Marechal Hermes,-22.85929980179739,-43.37069524613886,Padaria e Conf. Central de Marechal Hermes,-22.858826749826488,-43.37025790096471,Bakery
573,Marechal Hermes,-22.85929980179739,-43.37069524613886,Pizzaria Paladar,-22.860284001338965,-43.37003702104826,Pizza Place
574,Marechal Hermes,-22.85929980179739,-43.37069524613886,Restaurante Nova Lux,-22.861268186618126,-43.370977856504794,Brazilian Restaurant
575,Marechal Hermes,-22.85929980179739,-43.37069524613886,Yakisoba - Estação Marechal Hermes,-22.861314,-43.370694,Japanese Restaurant
577,Marechal Hermes,-22.85929980179739,-43.37069524613886,Renato's Bar,-22.860692272098227,-43.368552326112415,Brazilian Restaurant
580,Marechal Hermes,-22.85929980179739,-43.37069524613886,Garatuja Gourmet Self Service.,-22.862561974405715,-43.37215215367063,Brazilian Restaurant
582,Vicente de Carvalho,-22.857181580425586,-43.3156122450666,Adega D'Ouro,-22.853693856296555,-43.314341762706576,Portuguese Restaurant
590,Engenho da Rainha,-22.86303806378977,-43.294214108121565,Verão Vermelho Panificadora,-22.865466170064465,-43.29601743460066,Bakery
593,Engenho da Rainha,-22.86303806378977,-43.294214108121565,Quiosque Do Macarrão,-22.866697,-43.296603999999995,Bar
601,Complexo do Alemão,-22.86132882211473,-43.273599619202855,Lanchonete Big Favella - o verdadeiro sabor do complexo do alemão,-22.860670827037463,-43.27204070569257,Burger Joint
603,Complexo do Alemão,-22.86132882211473,-43.273599619202855,Experimenta Lanches,-22.86334824174113,-43.2717669033744,Fast Food Restaurant
617,Padre Miguel,-22.87905564359551,-43.44964089408757,Bar da Vilma,-22.87950223234758,-43.451366494005995,Bar
618,Padre Miguel,-22.87905564359551,-43.44964089408757,Barril 8000,-22.878412194760124,-43.44948894701145,Restaurant
619,Padre Miguel,-22.87905564359551,-43.44964089408757,Gostinho do Sul Padaria e Confeitaria,-22.87812608929619,-43.447834392073695,Bakery
620,Padre Miguel,-22.87905564359551,-43.44964089408757,Deck Carioca,-22.879029167587237,-43.45083200930449,Bar
621,Padre Miguel,-22.87905564359551,-43.44964089408757,Japinha Carioca Culinária Oriental,-22.87918216723148,-43.45363003523984,Japanese Restaurant
622,Padre Miguel,-22.87905564359551,-43.44964089408757,Mariah Culinária Oriental,-22.87868748163525,-43.44955395146071,Japanese Restaurant
623,Padre Miguel,-22.87905564359551,-43.44964089408757,McDonald's,-22.877054112039676,-43.446470306324464,Fast Food Restaurant
626,Padre Miguel,-22.87905564359551,-43.44964089408757,Império D'Itália,-22.879660159662485,-43.45435307331928,Italian Restaurant
628,Padre Miguel,-22.87905564359551,-43.44964089408757,Planeta Japa,-22.881010999999997,-43.451777,Restaurant
638,Bento Ribeiro,-22.86704088884522,-43.36067182646321,Padaria Delirio dos Pães,-22.86542464487441,-43.36268602257071,Bakery
643,Bonsucesso,-22.865931589836674,-43.253802876888095,Kukas Lanches,-22.867949482975398,-43.25475541875642,Fast Food Restaurant
644,Bonsucesso,-22.865931589836674,-43.253802876888095,Chapéu de Couro,-22.86389858451624,-43.25151689438066,Northeastern Brazilian Restaurant
